epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4378,1.4622,1.2925,0.5329,1.3006,1.1822,0.0010000,1192,,,
2,0.5192,1.1768,1.1493,0.5509,1.2558,1.1583,0.0010000,2416,,,
3,0.5498,1.3738,1.1397,0.5714,1.2085,1.1297,0.0010000,3653,,,
4,0.5624,1.1998,1.0986,0.5863,1.1689,1.1043,0.0010000,4854,,,
5,0.5725,1.4689,1.1854,0.6078,1.1175,1.0722,0.0010000,5986,,,
