epoch;training accuracy;training loss;training error;validation accuracy;validation loss;validation error;learning rate;time;test accuracy;test loss;test error
1;0.3751;1.6399;1.4493;0.4652;1.5184;1.3309;0.001;334;;;
2;0.452;1.3859;1.3385;0.4761;1.4858;1.3176;0.001;698;;;
3;0.4948;1.3775;1.2785;0.4912;1.454;1.3024;0.001;1060;;;
4;0.5173;1.4116;1.2218;0.5101;1.3971;1.2752;0.001;1395;;;
5;0.541;1.24;1.1399;0.528;1.3516;1.2499;0.001;1735;;;
6;0.5582;1.021;1.0669;0.5516;1.2911;1.2143;0.001;2068;;;
7;0.5694;1.2102;1.105;0.5718;1.2254;1.1693;0.001;2395;;;
8;0.5802;1.3108;1.1686;0.5938;1.1658;1.123;0.001;2734;;;
9;0.5832;1.3657;1.2143;0.6179;1.1004;1.07;0.001;3071;;;
10;0.5929;1.3677;1.1571;0.6386;1.0431;1.0178;0.001;3551;0.6417;1.0409;1.0155
11;0.619;0.9393;0.9235;0.6586;0.9922;0.9618;0.0003487;3878;;;
12;0.6201;1.1098;0.9714;0.6725;0.9558;0.9225;0.0003487;4200;;;
13;0.6206;1.151;1.079;0.6812;0.9339;0.8955;0.0003487;4530;;;
14;0.6245;1.1158;1.0046;0.6891;0.9123;0.8739;0.0003487;4880;;;
15;0.6224;1.0204;0.9596;0.6942;0.895;0.8579;0.0003487;5231;;;
16;0.6291;0.9288;0.9027;0.6998;0.8834;0.8457;0.0003487;5564;;;
17;0.6355;1.076;0.9663;0.7014;0.8716;0.8349;0.0003487;5884;;;
18;0.631;0.9515;0.9591;0.704;0.8641;0.8278;0.0003487;6206;;;
19;0.6325;1.1604;1.0244;0.7074;0.8569;0.8196;0.0003487;6532;;;
20;0.6369;0.9765;0.936;0.7098;0.8522;0.814;0.0003487;7014;0.7081;0.8578;0.8182
21;0.6384;0.99;0.8892;0.7128;0.8466;0.8093;0.0001216;7344;;;
22;0.6448;1.0589;0.9171;0.7142;0.8405;0.8048;0.0001216;7698;;;
23;0.6413;0.8992;0.9093;0.7162;0.836;0.8003;0.0001216;8027;;;
24;0.6444;1.0177;1.0195;0.7176;0.8335;0.7976;0.0001216;8359;;;
25;0.6427;1.0422;0.9376;0.7181;0.8303;0.7935;0.0001216;8689;;;
26;0.6419;0.9921;0.9288;0.7214;0.8277;0.7914;0.0001216;9028;;;
27;0.644;0.9905;0.9538;0.7219;0.8254;0.7895;0.0001216;9360;;;
28;0.6438;1.0703;1.0026;0.7227;0.8228;0.7859;0.0001216;9701;;;
29;0.6507;0.8321;0.8173;0.7236;0.82;0.7844;0.0001216;10064;;;
30;0.6499;1.1368;0.9132;0.7238;0.818;0.7815;0.0001216;10548;0.7178;0.825;0.7865
31;0.6545;1.223;1.087;0.7238;0.8168;0.7803;0.0000424;10913;;;
32;0.6521;0.985;0.8849;0.725;0.8161;0.7793;0.0000424;11290;;;
33;0.6547;1.0851;0.9702;0.7243;0.8148;0.7779;0.0000424;11668;;;
34;0.6558;0.8164;0.8356;0.7255;0.8126;0.7764;0.0000424;12030;;;
35;0.6522;0.7467;0.7948;0.7265;0.8122;0.7759;0.0000424;12370;;;
36;0.6493;0.9857;0.9394;0.7263;0.8125;0.7754;0.0000424;12708;;;
37;0.6489;1.0159;0.9747;0.7268;0.8108;0.7746;0.0000424;13042;;;
38;0.6497;0.9781;0.9333;0.7259;0.8103;0.774;0.0000424;13364;;;
39;0.6451;0.8948;0.8526;0.7264;0.8097;0.7729;0.0000424;13684;;;
40;0.6563;1.0581;0.9594;0.7267;0.8086;0.7721;0.0000424;14138;0.7218;0.8168;0.7779
41;0.6528;1.0063;0.8984;0.7279;0.8079;0.7716;0.0000148;14459;;;
42;0.6505;0.9861;0.975;0.7286;0.8077;0.7712;0.0000148;14780;;;
43;0.6558;0.945;0.9052;0.7285;0.8072;0.7709;0.0000148;15100;;;
44;0.6528;0.9649;0.8972;0.7284;0.807;0.7704;0.0000148;15421;;;
45;0.6563;0.9437;0.9218;0.7288;0.8067;0.7702;0.0000148;15762;;;
46;0.6548;1.0741;0.9901;0.7301;0.8061;0.7695;0.0000148;16113;;;
47;0.6569;1.03;0.9461;0.7298;0.8062;0.7693;0.0000148;16434;;;
48;0.6525;1.0292;0.9504;0.7298;0.8061;0.7694;0.0000148;16755;;;
49;0.6515;0.876;0.9179;0.7287;0.8062;0.7696;0.0000148;17075;;;
50;0.654;1.0561;0.9017;0.7278;0.8065;0.7695;0.0000148;17526;0.7242;0.8144;0.7753
